ref,household_name,city,province,postal_code,segmentation,record_type,next_kyc_review,date_last_contacted,contact1_first,contact1_last,contact1_birthdate,contact1_email,contact1_phone,contact2_first,contact2_last,contact2_birthdate,contact2_email,contact2_phone,target_aum,target_cash,target_market_value,account_count
FP015,Folake and Emeka Okonkwo Family,Penticton,BC,V2A 3C8,2,1,2027-05-08,2026-07-22,Folake,Okonkwo,1988-06-13,folake.okonkwo@mail.test,250-555-7851,Emeka,Okonkwo,1984-11-07,emeka.okonkwo@mail.test,250-555-8557,905000,18529,886471,2
FP016,Fournier Household,West Kelowna,BC,V4T 8J5,2,1,2027-03-20,2026-06-27,Leo,Fournier,1963-04-19,leo.fournier@mail.test,250-555-2565,,,,,,870000,20634,849366,2
FP017,Andre and Marguerite Beauchamp Family,Kamloops,BC,V2C 5N7,2,1,2027-03-28,2026-08-09,Andre,Beauchamp,1946-07-02,andre.beauchamp@mail.test,250-555-4037,Marguerite,Beauchamp,1944-05-03,marguerite.beauchamp@mail.test,250-555-9954,835000,12282,822718,2
FP018,Bastien and Beatrice Lariviere Family,Vancouver,BC,V6B 8Y8,2,1,2027-09-30,2026-07-24,Bastien,Lariviere,1977-07-24,bastien.lariviere@mail.test,250-555-7327,Beatrice,Lariviere,1980-05-27,beatrice.lariviere@mail.test,250-555-4559,800000,21392,778608,2
FP019,Sylvie and Gilles Deschamps Family,Victoria,BC,V8W 6N1,2,1,2027-03-27,2026-06-23,Sylvie,Deschamps,1957-08-11,sylvie.deschamps@mail.test,250-555-8068,Gilles,Deschamps,1958-09-22,gilles.deschamps@mail.test,250-555-3915,770000,21654,748346,2
FP020,Marek and Petra Almeida Family,Nanaimo,BC,V9R 9X6,2,1,2027-02-11,2026-06-24,Marek,Almeida,1959-03-18,marek.almeida@mail.test,250-555-2975,Petra,Almeida,1961-06-26,petra.almeida@mail.test,250-555-4178,742000,6885,735115,2
FP021,Halvorsen Household,Salmon Arm,BC,V1E 1G8,2,1,2027-05-18,2026-08-02,Nathaniel,Halvorsen,1946-12-13,nathaniel.halvorsen@mail.test,250-555-4559,,,,,,715000,21398,693602,2
FP022,Petrenko Household,Summerland,BC,V0H 6B1,2,1,2027-03-31,2026-07-26,Sofia,Petrenko,1987-02-28,sofia.petrenko@mail.test,250-555-3407,,,,,,690000,16765,673235,2
FP023,Clement and Genevieve Villeneuve Family,Peachland,BC,V0H 1R2,2,1,2027-02-03,2026-08-02,Clement,Villeneuve,1957-01-21,clement.villeneuve@mail.test,250-555-3061,Genevieve,Villeneuve,1957-02-24,genevieve.villeneuve@mail.test,250-555-1992,665000,21379,643621,2
FP024,Manon and Andre Lemieux Family,Osoyoos,BC,V0H 9B6,2,1,2026-12-27,2026-07-23,Manon,Lemieux,1980-07-03,manon.lemieux@mail.test,250-555-3700,Andre,Lemieux,1983-07-07,andre.lemieux@mail.test,250-555-9306,640000,23538,616462,2
FP025,Elspeth and Nathaniel Wiebe Family,Kelowna,BC,V1Y 3Y7,3,1,2026-10-01,2026-07-03,Elspeth,Wiebe,1945-07-05,elspeth.wiebe@mail.test,250-555-7174,Nathaniel,Wiebe,1944-06-15,nathaniel.wiebe@mail.test,250-555-3673,618000,8754,609246,2
FP026,Kwame and Folake Osei Family,Vernon,BC,V1T 4E3,3,1,2027-09-15,2026-07-31,Kwame,Osei,1975-03-13,kwame.osei@mail.test,250-555-6250,Folake,Osei,1977-10-09,folake.osei@mail.test,250-555-9181,596000,15620,580380,2
FP027,Thibodeau Household,Penticton,BC,V2A 2E3,3,1,2027-07-06,2026-07-12,Clement,Thibodeau,1984-08-16,clement.thibodeau@mail.test,250-555-3716,,,,,,575000,25162,549838,2
FP028,Anil and Priyanka Dhillon Family,West Kelowna,BC,V4T 8G8,3,1,2027-02-11,2026-08-21,Anil,Dhillon,1959-06-04,anil.dhillon@mail.test,250-555-2980,Priyanka,Dhillon,1958-03-24,priyanka.dhillon@mail.test,250-555-3875,554000,19083,534917,2
FP029,Bissonnette Household,Kamloops,BC,V2C 1M2,3,1,2027-10-06,2026-07-02,Lucienne,Bissonnette,1948-04-06,lucienne.bissonnette@mail.test,250-555-5683,,,,,,534000,20671,513329,2
FP030,Szabo Household,Vancouver,BC,V6B 5Z7,3,1,2027-02-16,2026-08-07,Luca,Szabo,1948-12-28,luca.szabo@mail.test,250-555-4266,,,,,,515000,24351,490649,2
FP031,Noor and Arvind Grewal Family,Victoria,BC,V8W 8V2,3,1,2027-09-01,2026-07-07,Noor,Grewal,1984-02-08,noor.grewal@mail.test,250-555-8661,Arvind,Grewal,1988-08-03,arvind.grewal@mail.test,250-555-3223,496000,4000,492000,2
FP032,Isabelle and Bastien Rouleau Family,Nanaimo,BC,V9R 4T8,3,1,2027-04-10,2026-08-30,Isabelle,Rouleau,1970-10-17,isabelle.rouleau@mail.test,250-555-7248,Bastien,Rouleau,1966-03-26,bastien.rouleau@mail.test,250-555-2940,478000,25738,452262,2
FP033,Kaur Household,Salmon Arm,BC,V1E 1H4,3,1,2027-02-04,2026-08-11,Sanjay,Kaur,1969-09-06,sanjay.kaur@mail.test,250-555-3522,,,,,,460000,13941,446059,2
FP034,Achebe Household,Summerland,BC,V0H 6G5,3,1,2027-04-18,2026-07-22,Yusuf,Achebe,1979-07-21,yusuf.achebe@mail.test,250-555-8425,,,,,,443000,8174,434826,2
FP035,Adeyemi Household,Peachland,BC,V0H 5K2,3,1,2026-12-29,2026-08-23,Desmond,Adeyemi,1963-08-19,desmond.adeyemi@mail.test,250-555-5017,,,,,,426000,4516,421484,2
FP036,Marcel and Lucienne Delacroix Family,Osoyoos,BC,V0H 9G6,3,1,2027-05-30,2026-07-06,Marcel,Delacroix,1975-07-16,marcel.delacroix@mail.test,250-555-5056,Lucienne,Delacroix,1974-05-15,lucienne.delacroix@mail.test,250-555-6182,410000,5302,404698,2
FP037,Marchetti Household,Calgary,AB,T2P 7S3,3,1,2026-12-27,2026-07-12,Oskar,Marchetti,1947-07-25,oskar.marchetti@mail.test,403-555-2689,,,,,,394000,14869,379131,1
FP038,Hiroshi and Yumi Nakashima Family,Edmonton,AB,T5J 3J1,3,1,2027-09-29,2026-08-09,Hiroshi,Nakashima,1984-09-03,hiroshi.nakashima@mail.test,403-555-7060,Yumi,Nakashima,1981-12-02,yumi.nakashima@mail.test,403-555-3846,378000,19880,358120,1
FP039,Gilles and Genevieve Turgeon Family,Red Deer,AB,T4N 3R3,3,1,2027-04-10,2026-09-02,Gilles,Turgeon,1986-04-21,gilles.turgeon@mail.test,403-555-7810,Genevieve,Turgeon,1988-09-07,genevieve.turgeon@mail.test,403-555-7142,363000,3206,359794,1
FP040,Hugo and Sylvie Moreau Family,Canmore,AB,T1W 9R7,3,1,2026-10-03,2026-08-23,Hugo,Moreau,1957-03-04,hugo.moreau@mail.test,403-555-1581,Sylvie,Moreau,1955-06-02,sylvie.moreau@mail.test,403-555-3968,348000,4279,343721,1
FP041,Kuznetsov Household,Calgary,AB,T2P 1X9,3,1,2027-01-21,2026-08-25,Anton,Kuznetsov,1948-01-07,anton.kuznetsov@mail.test,403-555-1462,,,,,,334000,14366,319634,1
FP042,Luca and Petra Antonelli Family,Edmonton,AB,T5J 8M7,3,1,2027-09-08,2026-09-03,Luca,Antonelli,1947-02-06,luca.antonelli@mail.test,403-555-3856,Petra,Antonelli,1945-01-18,petra.antonelli@mail.test,403-555-4770,320000,20563,299437,1
FP043,Gilles and Renee Pelletier Family,Red Deer,AB,T4N 7X3,4,1,2027-05-18,2026-08-18,Gilles,Pelletier,1979-01-20,gilles.pelletier@mail.test,403-555-9820,Renee,Pelletier,1978-02-05,renee.pelletier@mail.test,403-555-6648,306000,19086,286914,1
FP044,Rousseau Household,Canmore,AB,T1W 8H9,4,1,2026-10-21,2026-08-02,Genevieve,Rousseau,1960-05-11,genevieve.rousseau@mail.test,403-555-8105,,,,,,292000,1857,290143,1
FP045,Ouellette Household,Toronto,ON,M5H 8N5,4,1,2027-05-10,2026-06-26,Gilles,Ouellette,1951-06-08,gilles.ouellette@mail.test,613-555-8373,,,,,,279000,22138,256862,1
FP046,Milena and Anton Sidorov Family,Ottawa,ON,K1P 6C9,4,1,2027-09-15,2026-08-11,Milena,Sidorov,1985-09-13,milena.sidorov@mail.test,613-555-7652,Anton,Sidorov,1989-09-21,anton.sidorov@mail.test,613-555-5620,266000,2506,263494,1
FP047,Noor and Devinder Chaudhry Family,London,ON,N6A 4B6,4,1,2027-06-28,2026-07-08,Noor,Chaudhry,1965-07-15,noor.chaudhry@mail.test,613-555-1571,Devinder,Chaudhry,1961-06-10,devinder.chaudhry@mail.test,613-555-6144,253000,19146,233854,1
FP048,Stefan and Dagmar Kowalczyk Family,Kingston,ON,K7L 3B5,4,1,2027-04-04,2026-06-29,Stefan,Kowalczyk,1945-03-11,stefan.kowalczyk@mail.test,613-555-3674,Dagmar,Kowalczyk,1944-09-08,dagmar.kowalczyk@mail.test,613-555-3006,240000,22123,217877,1
FP049,Gauthier Household,Toronto,ON,M5H 4H8,4,1,2027-09-19,2026-07-30,Lucienne,Gauthier,1977-09-19,lucienne.gauthier@mail.test,613-555-7890,,,,,,228000,11384,216616,1
FP050,Milena and Luca Kaczmarek Family,Ottawa,ON,K1P 4C3,4,1,2027-09-21,2026-07-17,Milena,Kaczmarek,1949-05-25,milena.kaczmarek@mail.test,613-555-1122,Luca,Kaczmarek,1949-02-22,luca.kaczmarek@mail.test,613-555-9391,215000,18146,196854,1
FP051,Tunde and Chidinma Oyelaran Family,London,ON,N6A 9H8,4,1,2027-08-31,2026-06-26,Tunde,Oyelaran,1947-09-04,tunde.oyelaran@mail.test,613-555-6883,Chidinma,Oyelaran,1943-08-12,chidinma.oyelaran@mail.test,613-555-9010,198000,2643,195357,1
FP052,Jun and Sakura Takahashi Family,Kingston,ON,K7L 3N9,4,1,2027-01-18,2026-08-18,Jun,Takahashi,1980-07-18,jun.takahashi@mail.test,613-555-9147,Sakura,Takahashi,1976-08-18,sakura.takahashi@mail.test,613-555-2253,182000,19588,162412,1
